weather	What's the weather like tomorrow
trade	japan hope avoiding sanctions top official japan chance persuading drop threatened trade sanctions despite efforts japanese team that left for washington today michael armacost secretary state for political affairs asked press conference whether japan moves boost domestic economy and open markets persuade not impose tariffs japanese imports and replied early for figures demonstrate that situation turned and permit result you described armacost hopes japan will steps lift domestic economy and reduce dependence exports remove barriers imports and settle outstanding trade issues obvious problems moment trade area not problems divert attention important areas cooperation that continue exist security and political issues question whether cooperative actions governments can reduce trade imbalance whether congress takes action reduce protectionist legislation reuter 
acq	san miguel deal hit lawsuits bid san miguel corp smc sanm buy back mln sequestered shares united coconut planters bank ucpb hit two lawsuits sources philippine food and brewery company manila court yesterday issued injunction barring ucpb selling shares represent pct smc outstanding capital stock mln shares hearings april petition filed eduardo cojuangco chairman smc and ucpb cojuangco coconut industry investment fund ciif and mln farmers rightful owners shares cojuangco shares held trust ucpb and represented blue chip investment petition ucpb plans sell shares smc breach fiduciary duties smc sources proposed share sale held second derivative suit filed securities and exchange commission sec eduardo los angeles government nominee company board los angeles represents smc minority stockholders asked sec block transaction approved last week company board april board sanctioned repurchase sequestered shares for billion pesos pesos per share los angeles told sec company retained earnings billion pesos wiped purchase shares and prevent declaration dividends los angeles share purchase violate smc agreement creditors maintain debt equity ratio quoted smc chief financial director ramon del rosario telling board that transaction boost ratio petitioning sec los angeles amended earlier suit two weeks ago charged smc chairman andres soriano iii and directors violating duties los angeles earlier complaint related smc assuming last december mln dlr loan contracted smc hong kong subsidiary neptunia corp for payment shares loan assumption ratified last week board meeting arbitration panel set president corazon aquino resolve ownership issue expected submit report april amended suit filed eduardo los angeles part continuing attempt elements complete disregard facts and questionable motives delay early disposition sequestered shares san miguel corp statement coming san miguel corp and ucpb reached agreement price shares and method payment this suit direct contravention government expressed desire reach amicable settlement controversy april statement added san miguel spokesman had comment cojuangco court petition adding statement coming interpreted adversarial meanwhile ramon diaz head government panel sequestered shares last year soriano not eligible buy major portion shares united states citizen sequestered shares split into mln shares can owned filipinos and mln shares foreign buyers smc sources soriano personally not prospective buyers shares purchased soriano group companies smc neptunia and unnamed institutional investors soriano named buyers bid march for mln shares controlled ucpb sale aborted diaz presidential commission good government sequestered shares suspicion owned cojuangco close associate president ferdinand marcos cojuangco lives imposed exile shares grew mln pct stock dividend announced last june objection soriano buying shares diaz told reuters hold smc spokesman not controversy resolved company annual stockholders meeting scheduled for san miguel corp reported sales revenue billion pesos pct billion peso sales unaudited net profit neighbourhood mln pesos increase pct reuter 
earn	italy fondiaria report higher profits italian insurer fondiaria spa lfdi expects report consolidated group profit significantly higher billion lire reported company statement that parent company net profit last year will rise billion lire reported consolidated group premiums totaled billion lire compared billion previous year iniziativa meta inzi financial services unit montedison spa moni controls largest single stake florence based fondiaria pct reuter 
earn	higher profit for dutch chemical firm dsm fully state owned dutch chemical firm dsm dsmn net profit rose mln guilders mln turnover fell billion guilders billion company dividend will paid dutch state capacity firm sole shareholder raised mln guilders mln guilders initial comment results dsm drop turnover had caused losses company fertilizer division reuter 
acq	cincinnati bell csn starts auxton auxt bid cincinnati bell inc started previously announced dlr per share tender offer for shares auxton computer enterprises inc newspaper advertisement company tender and withdrawal rights will expire extended offer approved auxton board and merger price conditioned receipt majority auxton voting stock fully diluted basis reuter 
earn	california biotech cbio sees qtr loss california biotechnology inc expects report loss dlrs dlrs for quarter due increased investment research and manufacturing and scaleup production company research spending running pct year ago commercialize products quickly and increased expenditures expected continue for quarters operating results will fluctuate quarter quarter depending timing significant payments commercial partners months company lost dlrs company changed fiscal year calendar year year ending november for quarter last year ended february california biotech earned dlrs reuter 
earn	pall corp pll sets quarterly dividend qtly div cts cts prior pay record april reuter 
acq	unilever seeks buyer for stauffer chemical unilever plc and issued prospectus investment bankers goldman sachs and seeking buyer for stauffer chemical acquired recent takeover chesebrough pond inc unilever spokesman noted unilever indicating plans dispose stauffer smaller assets chesebrough since bid made december stauffer sale prospectus recent weeks number companies expressing interest unilever spokesman declined group expected receive for stauffer chesebrough footwear and tennis racket businesses likely disposed added immediately financial information stauffer wholly owned limited added month sales september billion dlrs unilever aquired chesebrough for billion dlrs order benefit toiletry brands and food products reuter 
acq	conrac corp entered talks acquisition parties 
acq	conrac cax merger talks conrac corp sait started negotiations interested parties acquisition can assurance that transaction will result talks gave details mark industries inc started tendering for conrac shares dlrs each march and owned pct conrac starting bid conrac producer and marketer computer related information display and communications equipment produces special purpose architectural and industrial products owns code phone corp producer telephone answering machines for company reported profits mln dlrs dlrs share sales mln dlrs mln shares outstanding reuter 
earn	computer research inc core qtr feb net shr cts cts net revs half shr cts cts net revs reuter 
ship	australian foreign ship ban ends tug crews south wales nsw victoria and western australia yesterday lifted ban foreign flag ships carrying containers nsw ports disrupted separate dispute shipping sources ban imposed week ago pay claim had prevented movement port vessels pay dispute hearing arbitration commission today meanwhile disruption began today cargo handling ports sydney newcastle and port kembla industrial action nsw ports part week action called nsw trades and labour council protest state workers compensation laws reuter 
earn	rubbermaid inc qtr shr cts cts 
ship	independent chairman for dutch cargo dispute two sides rotterdam port general cargo dispute agreed appoint independent chairman han lammers preside future meetings employers spokesman gerard zeebregts lammers queen commissioner for province flevoland will not act mediator will draw agenda and procedures for meetings employers and unions work practice agreement and proposed redundancies two months strikes sector began january protest employers proposals for redundancies strong workforce this year strikes called main port union fnv march amsterdam court interim injunction redundancies procedural grounds court due make final ruling zeebregts expected judgment employers and likely restart complicated legal redundancy procedures future meanwhile dispute work practice agreement port grain sector continued maintenance workers strike loading not affected spokesman for graan elevator mij largest employer sector employers written union asking reconsider position and meeting union members called for tomorrow reuter 
earn	electro rent corp elrc qtr feb net shr cts cts net revs mln mln avg shrs mths shr cts dlrs net revs mln mln avg shrs reuter 
earn	rubbermaid inc rbd qtr net shr cts cts net mln mln sales mln mln reuter 
earn	wtc international inc waf qtr feb net shr profit cts loss cts net profit loss rev mln mln year shr profit cts loss cts net profit loss rev mln mln reuter 
earn	mead corp qtr oper shr dlrs cts 
earn	rubbermaid rbd sees continued improvement rubbermaid inc incoming order rates continue strong and expects continue recording favorable year year comparisons each remaining quarter today company reported quarter earnings mln dlrs sales mln dlrs earnings mln dlrs sales mln dlrs reuter 
earn	cayuga savings bank cayb qtr net shr cts cts net avg shrs reuter 
earn	johnstown savings bank fsb jsbk qtr net shr cts not net note company public october net includes pretax loan loss provisions dlrs dlrs and gain sale securities dlrs dlrs reuter 
earn	home savings and loan association inc hsld qtr march shr cts not net half shr dlrs not net note company recently public reuter 
earn	geodynamics corp gdyn qtr feb net shr cts cts net revs mths shr cts cts net revs mln mln reuter 
earn	compaq cpq expects higher quarter net compaq computer corp expects sales and earnings for quarter higher analysts expectations due strong demand for products rod canion president and chief executive officer compaq expects sales mln dlrs for period ending march analysts estimates mln dlrs added that earnings per share exceed analysts estimates high cts share compaq reported earnings mln dlrs cts share and sales mln dlrs for quarter company demand for deskpro portable iii and compaq deskpro will contribute sales increase initial demand for recently introduced compaq portable iii and models compaq deskpro exceeds that compaq personal computers canion continued demand for personal computers across quarter march strong month reuter 
acq	international sell insurance units international reached preliminary agreement sell hawaiian insurance cos hawaiian electric industries inc terms transaction not disclosed company transaction subject execution definitive agreements governmental approvals and approvals boards directors involved international hawaiian electric planned purchase part strategy increase company investment selected service industries hawaii including financial services reuter 
earn	cxr telcom corp cxrl qtr march net shr nil nil net revs mths shr nil net revs reuter 
acq	proxmire outlines insider trading legislation senate banking committee chairman william proxmire wis planned introduce legislation shortly require greater public disclosure corporate takeovers and fairer treatment for shareholders speaking national association manufacturers proxmire recent insider trading stock scandals increased chance that congress will act curb abuses proposing legislation that provide for disclosure fairer shareholders and insure that takeovers properly financed provisions bill reduce threshold for notifying securities and exchange commission that investor group acquired percentage stock company pct current pct threshold days proxmire addition pre notificaton requirement that investor intended aquire pct that filed sec proxmire pre notification requirement meant prevent arbitragers jump general public knowing coming takeover attempts proxmire call for extending period that tender offer open williams act business days current business days bill provide for private suits acquiring company violated time period tender offer correct abuses financing takeovers proxmire legislation aim insuring current margin requirments properly enforced federal reserve board pct margin requirement for purchasing stock proxmire not generally enforced hostile takeovers groups individuals leading takeover declare that can raise capital for takeover putting money proxmire bill private suits for damages for failure meet federal reserve pct margin requirements bill require disclose investors form alliance hostile takeover pickens and icahn together want people proxmire proxmire favored approach used britain two tiered tender offers that insures that shareholders recieve equal treatment expected amendments bill cover defensive mechanisms such green mail and poison pills proxmire intended introduce bill this month and predicted senate committee act this spring hopeful congress pass bill this year reuter 
earn	helen troy corp hele qtr feb net shr cts cts net sales mln avg shrs year oper shr profit dlrs loss cts oper net profit loss sales mln mln avg shrs note latest year net excludes dlr tax credit reuter 
earn	bankers trust puts brazil accrual bankers trust york corp approximately mln dlrs medium and long term loans brazil accrual status and that quarter net income will reduced mln dlrs result brazil suspended interest payments billion dlrs medium and long term debt february banking regulations not require banks stop accruing interest loans payments days overdue bankers trust acted high potential continued suspension that result reaching day limit second quarter assuming cash payments current interest rates received for rest bankers trust estimated that full year net income reduced mln dlrs bankers trust assumes that debt negotiations brazil and commercial bank lenders will lead resumption interest payments negotiations resume york friday central bank governor francisco gros expected banks for day rollover billion dlrs term debt that matures april reuter 
earn	mercantile currency fund inc qtr net shr profit cts cts net revs reuter 
money-fx	stoltenberg sees moves strengthen paris accord west german finance minister gerhard stoltenberg today meetings major industrial countries ways strengthening paris accord stabilizing foreign exchange rates stoltenberg told journalists fundamental weakness february agreement group countries and canada exchange rates current levels declined measures discussed ahead communique group ministers today stoltenberg and bundesbank president karl otto poehl importance paris agreement louvre accord had underestimated stoltenberg greater agreement major countries six months ago time annual meeting international monetary fund and world bank marked sharp discord united states and major trading partners fundamental weakness paris accord will ways strengthening not want discuss that stoltenberg louvre agreement working despite slight firming yen dollar and poehl noted that dollar mark parity unchanged since february bundesbank had sell marks support dollar louvre agreement honored market poehl west germany had lived side bargain paris preparing for tax cuts accelerated stimulating growth poehl that japan had not fulfilled pledges for economic stimulation and will united states promised paris reducing budget deficit and congress added stoltenberg reiterated west german concern fall dollar noting that mark pct dollar and pct trade weighted basis you cannot expect that unnoticed economy and not german problem european problem reuter 
earn	mead mea expects improved earnings this year mead corp outlook for major paper markets strong for second quarter and augurs for earnings generally strong outlook bodes for significantly improved earnings this year burnell roberts chairman and chief executive officer earlier company reported quarter earnings mln dlrs dlrs share versus mln dlrs cts share last year quarter company reported earnings continuing operations mln dlrs dlrs share mead quarter benefitted stronger market conditions and improved operations combination capital improvement programs and employee involvement paying paper operations roberts added that mead pulp and paperboard businesses operating prices improved and strong demand products sold position middle year mead sales unbleached coated paperboard strong pct versus quarter reuter 
earn	amertek inc atekf qtr net shr profit cts loss cts net profit loss revs reuter 
earn	alex brown inc absb qtr march net shr primary cts cts shr diluted cts cts qtrly div six cts cts net revs mln mln note pay date for qtrly div april for shareholders record april reuter 
earn	town and country jewelry manufacturing tcjc thh qtr feb shr cts cts net sales mln mln avg shrs year shr dlrs dlrs net sales mln mln avg shrs note town and country jewelry manufacturing corp reuter 
acq	paxar corp paks makes acquisition paxar corp acquired thermo print gmbh lohn west germany distributor paxar products for undisclosed terms reuter 
earn	mark work wearhouse year jan net shr cts cts net sales mln mln reuter 
acq	canadian bashaw erskine resources merge canadian bashaw leduc oil and gas agreed merge erskine resources terms not disclosed ownership combined company pct for current shareholders canadian bashaw and pct current shareholders erskine companies reuter 
earn	entourage entg quarter loss entourage international inc had quarter loss dlrs incurring dlrs costs for internal audit report for shareholders and proxy soliciation and dlrs startup expenses for opening london offices company public entourage started marketing solid perfume packaged lipstick tube called amadeus retailing dlrs company acquired north country media group video productions company reuter 
earn	jax fashions inc year feb net shr cts cts net sales mln mln reuter 
earn	woolworth hikes dividend cts share cts 
earn	woolworth hikes dividend qtly div cts cts prior pay june record reuter 
earn	morgan and inc qtr shr dlrs dlrs 
earn	volkswagen dividend decision due tomorrow volkswagen vowg due make formal announcement dividend tomorrow level marks per ordinary share held despite massive losses suspected foreign currency fraud spokesman supervisory board will meet tomorrow discuss payout statement will made disclosed profits for will reach level despite provisions mln marks linked currency affair figure virtually mln mark parent company net profit confirmed currency scandal march management board propose unchanged mark dividend supervisory board dividend marks proposed for company preference shares share analysts supervisory board approval management board proposal virtually formality surprise company sources dig into reserves maintain disclosed profit parent company reserves stood billion marks end reuter 
earn	citytrust bancorp inc citr qtr net shr dlrs dlrs net avg shrs reuter 
acq	southmark acquires nursing homes southmark corp acquired long term care facilities containing for approximately mln dlrs cash facilities approximately beds western states bought don bybee and associates salem ore acquistion brings health care facilities acquired last months company reuter 
earn	morgan and inc jpm qtr net shr dlrs dlrs net mln mln assets billion billion loans billion billion deposits billion billion return assets pct pct return common equity pct pct note qtr net reduced mln dlrs billion dlrs loans brazil accrual loan loss provision mln dlrs mln year earlier reuter 
earn	firstbanc corp ohio fboh qtr net shr cts cts net reuter 
earn	mayfair super markets inc myfra qtr net qtr ends feb shr class cts cts shr class cts cts net revs six mths shr class dlrs cts shr class dlrs cts net revs note qtr and six mths prior figures reflect two for stock split august reuter 
earn	hanover insurance hins split approval hanover insurance stockholders approved two for stock split result split hanover increases number authorized shares capital stock mln par dlr mln par dlr stock split payable april stockholders record april hanover reuter 
acq	national guardian natg makes acquisitions national guardian corp acquired number security services companies recently aggregate revenues dlrs for aggregate cost dlrs acquired guard service companies security gaurd service paramus cartel security consultants inc guard services division security services america wayne capital investigations and protective agency hackensack and meyer detective agency inc national park company bought alarm service operations certified security services inc key west fla custom security services myrtle beach security group inc houston and louisville kent and nashville tenn offices wells fargo alarm services reuter 
earn	universal medical umbiz distribution set qtly distribution cts cts prior excluding cts special pay april record april note full name universal medical buildings reuter 
acq	wedgestone realty wdg acquisition approved wedgestone realty investors trust shareholkders approved acquisition advisor wedgestone advisory corp for shares completion expected place april reuter 
earn	hartmarx corp hmx boosts dividend chicago april qtly div cts cts prior qtr pay record 
money-fx	top officials arrive treasury for talks top officials leading industrial nations arrived treasury main building begin meeting group officials arriving reuter correspondents included west german finance minister gerhard stoltenberg and bundesbank president karl otto poehl french finance minister edouard balladur and central banker jacques larosiere arriving japanese finance minister kiichi miyazawa and japan central bank governor satoshi sumita and british chancellor exchequer and central bank governor robin leigh pemberton sign italian canadian officials monetary sources fully blown meeting group expected begin local time gmt and last gmt communique expected issued italian sources italian acting finance minister giovanni goria met treasury secretary james baker last night talks baker apparently convinced goria declined attend february meeting group paris that italy participate fully meaningful decisions reuter 
interest	fed expected set customer repurchases federal reserve expected intervene government securities market supply temporary reserves indirectly customer repurchase agreements economists economists expect fed execute billion dlrs customer repos offset pressures end two week bank reserve maintenance period today for permanent reserve injection offset seasonal pressures outright purchase bills coupons this afternoon federal funds rate opened pct and remained that level yesterday pct average reuter 
acq	reader digest association sells unit reader digest association inc sold subsidiary source telecomputing corp venture capital firm welsh carson anderson and stowe purchase price not disclosed reader digest purchased pct stake source and earned unspecified profit mln dlrs revenues reuter 
earn	weis markets inc wmk qtr march net shr cts cts net mln mln revs mln mln reuter 
earn	continental bank initial distribution approved continental bank canada shareholders approved capital reorganization initial payout end common shareholders last year mln canadian dlr sale continental assets lloyds bank plc lloyds bank canada bank initial distribution form stock dividend cumulative redeemable retractable class series two preferred shares entitling holders monthly floating rate dividends pct prime and dlrs share retraction continental initial payout subject canadian government approval bank reiterated that total distributions common shareholders range dlrs share dlrs including initial stock dividend and final distribution late early payout existing preferred shareholders will completed month initial distribution common shareholders continental added reuter 
earn	atlas consolidated mining and development acmb qtr shr loss cts loss cts net loss mln loss mln revs mln mln year shr cts dlrs net loss mln loss mln revs mln mln note atlas consolidated mining and development corp manila translated philippine pesos pesos dollar quarter and year reuter 
acq	sci med smls board agrees bristol bmy deal sci med life systems inc directors approved previously proposed agreement merger bristol myers proposed transaction subject completion due diligence investigation including review bristol myers patent infringement suit served sci med advanced cardiovascular systems inc march bristol myers call agreement circumstances sci med continues patent suit merit reuter 
acq	fidelcor ficr completes sale unit fidelcor inc completed sale industrial valley title insurance subsidiary group investors including unit management for undisclosed terms industrial valley assets mln dlrs and acquired last year ivb financial corp reuter 
earn	data translation inc datx qtr feb net shr cts cts net sales avg shrs reuter 
earn	fidata corp fid qtr loss shr loss two cts profit cts net loss profit revs mln year shr profit dlrs profit cts net profit mln profit revs mln mln note net includes pretax securities sale gain dlrs loss dlrs quarter and gain dlrs loss dlrs year net includes pretax gains sale businesses nil dlrs quarter and mln dlrs dlrs year net includes pretax losses disposition product line nil dlrs quarter and dlrs dlrs year quarter net includes tax credits dlrs dlrs net includes reversal tax loss carryforwards dlrs dlrs quarter and tax loss carryforwards dlrs dlrs year reuter 
earn	marble financial corp mrbl qtr net oper shr cts not oper net note net excludes dlr gain termination pension plan company public august reuter 
acq	dominion textile calls report bid for burlington rumor 
earn	raytheon qtr shr dlrs dlrs 
earn	fleet financial group qtr shr cts cts 
earn	diebold inc dbd declares dividend qtly div cts cts prior pay june record reuter 
earn	independent bank corp ibcp regular dividend qtly div cts cts previously pay april record april reuter 
earn	raytheon rtn qtr net shr dlrs dlrs net mln mln revs billion billion avg shrs mln mln reuter 
earn	waltham savings bank wlbk initial dividend qtly div cts payable record april reuter 
earn	fleet financial group flt qtr net shr primary cts cts shr diluted cts cts net avg shares note qtr net interest income mln dlrs mln dlrs earnings per share reflects two for common stock split march reuter 
acq	dominion calls burlington bur report rumor dominion textile inc considers published report that bought stake burlington industries inc and making joint bid for company rumor company spokesman concerned and company concerned rumors and not commenting rumors spokesman michel dufour told reuters response query information that publicly that dominion textile interested making acquisition that big based that people starting sorts rumors dufour asked whether report rumor company not prepared comment dominion textile president and chairman thomas bell town and unavailable for comment dominion textile last year made unsuccesful mln dlr bid for avondale mills and maintained mln dlr line credit used for american acquisition dufour company negotiating textile companies not whether burlington industries burlington stock rose sharply this morning report dominion textile had joined investor asher edelman buy stake company and making takeover offer dominion textile reported operating profit mln canadian dlrs last year sales mln dlrs repeatedly will concentrate expanding into company plans diversify into product and market areas addition expanding textile operations reuter 
interest	fed sets overnight system repurchases fed 
earn	raytheon rtn net rises operations raytheon pct rise quarter net mln dlrs reflected improved operations and lower effective tax rate company revenue gains electronics major appliances and lines offset decreases energy services and aircraft products revenues quarter rose pct billion dlrs company backlog stood billion dlrs billion dlrs year earlier year billion dlr defense contract awarded shortly close quarter reuter 
earn	general instrument corp grl qtr loss ended feb shr loss dlrs profit cts net loss mln profit revs mln mln year shr loss dlrs loss dlrs net loss mln loss mln revs mln mln note includes loss mln dlrs loss mln dlrs year and loss mln dlrs current qtr discontinued operations qtr includes pretax gain mln dlrs settlement litigation and tax gain mln dlrs change estimated effective tax rate reuter 
interest	fed adds reserves overnight repurchases federal reserve entered government securities market arrange overnight system repurchase agreements fed spokesman dealers that federal funds trading pct fed began temporary and direct supply reserves banking system reuter 
earn	morgan jpm net hurt brazil trading morgan and inc quarter earnings fell pct largely reflecting previously announced decision place accrual status billion dlrs medium and long term loans brazil that decision spurred brazil suspension interest payments february reduced quarter net income mln dlrs mln dlrs compared mln months morgan reported loss mln dlrs securities underwriting and trading contrast gain mln dlrs year earlier period fourth quarter morgan posted trading losses mln dlrs setbacks trading and underwriting euromarket securities conditions sectors euromarket remained difficult last quarter floating rate notes suffering heavy price falls spokeswoman unable whether morgan trading losses restricted euromarket positive side morgan reduced provision for loan losses mln dlrs mln year earlier foreign exchange trading income rose mln dlrs mln and trust income increased mln dlrs mln morgan operating income fees and commissions rose mln dlrs mln net investment securities gains dropped mln mln net interest earnings mln dlrs quarter mln year earlier and net yield fell pct pct brazil had not accrual means that interest can recorded income payments received net interest earnings mln dlrs and net yield pct brazil not resume payments net cut mln dlrs morgan added provision for loan losses morgan allowance for credit losses end march totaled mln dlrs compared mln end and mln year earlier reported net recoveries six mln dlrs charge offs mln compared net charge offs mln dlrs recoveries mln year earlier excluding brazil accruing loans quarter end mln dlrs mln end and mln year earlier interest expenses rose mln dlrs mln dlrs half increase related personnel costs morgan reuter 
earn	atlas consolidated mining acmb qtr shr loss cts cts net loss mln loss mln revs mln mln year shr loss cts loss dlrs net loss mln loss mln revs mln mln reuter 
earn	fleet flt shareholders approve share increase fleet financial group shareholders approved increase shares company authorized common stock shares shares company shareholders approved move annual meeting providence today company reported that quarter earnings rose mln dlrs cts share mln dlrs cts share quarter terence murray chairman and president fleet financial fleet mortgage banking activities continued produce signficant income increases quarter murray fleet mortgage servicing portfolio reached billion dlrs march including billion dlrs purchased march reuter 
earn	rowe furniture corp rowe qtr feb shr cts cts net revs mln mln reuter 
earn	reuters chairman urges freer information flows exchanges and telecommunications authorities abolish restrictions full and free dissemination information investment and banking communities reuters holdings plc rtrs chairman sir christopher hogg annual repoprt lengthy negotiations had brought agreement tokyo and london stock exchanges for fuller not complete access market data reuter services markets maintain restrictions added hogg members markets that information restrictions protected interests cases exchanges limiting distribution data order provide competitive advantage commercial information businesses noted that despite increasing liberalisation telecommunications field countries continue protect state monopolies expense economic sectors reuter dealing services remain excluded such countries result banking communities serving entire economies put competitive disadvantage added reuters increased pre tax profit pct previous year mln stg pct rise revenues mln stg earnings per ordinary share pct annual shareholder meeting will held london april reuter 
acq	ccl industries purchases stake monobloc ccl industries inc purchased majority interest monobloc envases metalurgicos alava spain terms not disclosed ccl agreed exchange present and future technology envases reuter 
earn	rhodes inc rhd declares dividend qtly div cts cts prior pay july record june reuter 
acq	madeira letter intent acquired madeira inc signed letter intent acquired tradevest inc stock for stock exchange completion transaction tradevest pct issued outstanding stock madeira reuter 
earn	celltronics celt declares for split celltronics inc directors declared for reverse stock split common stock split will payable april shareholders record april reuter 
